7zip	25.01+dfsg-1~deb13u2
libsnappy1v5	1.2.2-1
libsndfile1	1.2.2-2+deb13u1
libsndfile1	1.2.2-2+deb13u1
libsndio7.0	1.10.0-0.1
libsnmp40t64	5.9.4+dfsg-2+deb13u1
libsnmp-base	5.9.4+dfsg-2+deb13u1
libsodium23	1.0.18-1+deb13u1
libsodium23	1.0.18-1+deb13u1
libsonic0	0.2.0-13+b1
libsord-0-0	0.16.18-1
libsoundtouch1	2.4.0+ds-1
libsoup-2.4-1	2.74.3-10.1
libsoup2.4-common	2.74.3-10.1
libsoup-3.0-0	3.6.5-3
libsoup-3.0-0	3.6.5-3
libsoup-3.0-common	3.6.5-3
libsoxr0	0.1.3-4+b2
libsoxr0	0.1.3-4+b2
libspa-0.2-bluetooth	1.4.2-1
libspa-0.2-libcamera	1.4.2-1
libspa-0.2-modules	1.4.2-1
libspandsp2t64	0.0.6+dfsg-2.2
libspatialaudio0t64	0.3.0+git20180730+dfsg1-2.1+b1
libspectre1	0.2.12-1+b2
libspeechd2	0.12.0-5
libspeechd-module0	0.12.0-5
libspeex1	1.2.1-3
libspeex1	1.2.1-3
libspeexdsp1	1.2.1-3
libspeexdsp1	1.2.1-3
libspelling-1-2	0.4.8-1
libspelling-common	0.4.8-1
libsphinxbase3t64	0.8+5prealpha+1-21+b1
libsqlite3-0	3.46.1-7+deb13u2
libsqlite3-0	3.46.1-7+deb13u2
libsratom-0-0	0.6.18-1
libsrt1.5-gnutls	1.5.4-1+deb13u1
libsrt1.5-gnutls	1.5.4-1+deb13u1
libsrtp2-1	2.7.0-3
libss2	1.47.2-3+b12
libssh2-1t64	1.11.1-1+deb13u2
libssh2-1t64	1.11.1-1+deb13u2
libssh-4	0.11.5-0+deb13u1
libssh-4	0.11.5-0+deb13u1
libssl3t64	3.5.7-1~deb13u2
libssl3t64	3.5.7-1~deb13u2
libstartup-notification0	0.12-8
libstdc++-14-dev	14.2.0-19
libstdc++6	14.2.0-19
libstdc++6	14.2.0-19
libstemmer0d	2.2.0-4+b2
libsvtav1enc2	2.3.0+dfsg-1
libsvtav1enc2	2.3.0+dfsg-1
libswresample5	7:7.1.5-0+deb13u1
libswresample5	7:7.1.5-0+deb13u1
libswscale8	7:7.1.5-0+deb13u1
libsynctex2	2024.20240313.70630+ds-6
libsystemd0	257.13-1~deb13u1
libsystemd0	257.13-1~deb13u1
libsystemd-shared	257.13-1~deb13u1
libtag2	2.0.2-2
libtag2	2.0.2-2
libtalloc2	2:2.4.3+samba4.22.11+dfsg-0+deb13u1
libtasn1-6	4.20.0-2+deb13u1
libtasn1-6	4.20.0-2+deb13u1
libtdb1	2:1.4.13+samba4.22.11+dfsg-0+deb13u1
libteamdctl0	1.31-1+b2
libtevent0t64	2:0.16.2+samba4.22.11+dfsg-0+deb13u1
libtext-charwidth-perl	0.04-11+b4
libtext-iconv-perl	1.7-8+b4
libtext-wrapi18n-perl	0.06-10
libthai0	0.1.29-2+b1
libthai0	0.1.29-2+b1
libthai-data	0.1.29-2
libtheora0	1.2.0~alpha1+dfsg-6
libtheora0	1.2.0~alpha1+dfsg-6
libtheoradec1	1.2.0~alpha1+dfsg-6
libtheoradec1	1.2.0~alpha1+dfsg-6
libtheoraenc1	1.2.0~alpha1+dfsg-6
libtheoraenc1	1.2.0~alpha1+dfsg-6
libtie-ixhash-perl	1.23-4
libtiff6	4.7.0-3+deb13u3
libtiff6	4.7.0-3+deb13u3
libtimedate-perl	2.3300-2
libtinfo6	6.5+20250216-2
libtinfo6	6.5+20250216-2
libtinysparql-3.0-0	3.8.2-7
libtirpc3t64	1.3.6+ds-1
libtirpc-common	1.3.6+ds-1
libtotem0	43.2-3
libtotem-plparser18	3.26.6-2
libtotem-plparser-common	3.26.6-2
libtry-tiny-perl	0.32-1
libts0t64	1.22-1.1+b1
libtsan2	14.2.0-19
libtss2-esys-3.0.2-0t64	4.1.3-1.2
libtss2-mu-4.0.1-0t64	4.1.3-1.2
libtss2-rc0t64	4.1.3-1.2
libtss2-sys1t64	4.1.3-1.2
libtss2-tcti-cmd0t64	4.1.3-1.2
libtss2-tcti-device0t64	4.1.3-1.2
libtss2-tctildr0t64	4.1.3-1.2
libtss2-tcti-libtpms0t64	4.1.3-1.2
libtss2-tcti-mssim0t64	4.1.3-1.2
libtss2-tcti-spi-helper0t64	4.1.3-1.2
libtss2-tcti-swtpm0t64	4.1.3-1.2
libtwolame0	0.4.0-2+b2
libtwolame0	0.4.0-2+b2
libubsan1	14.2.0-19
libuchardet0	0.0.8-1+b2
libudev1	257.13-1~deb13u1
libudev1	257.13-1~deb13u1
libudfread0	1.1.2-1+b2
libudfread0	1.1.2-1+b2
libudisks2-0	2.10.1-12.1+deb13u2
libunibreak6	6.1-3
libunistring5	1.3-2
libunistring5	1.3-2
libunwind8	1.8.1-0.1
libupnp17t64	1:1.14.20-1+deb13u1
libupower-glib3	1.90.9-1
liburiparser1	0.9.8+dfsg-2
liburi-perl	5.30-1
libusb-1.0-0	2:1.0.28-1
libusb-1.0-0	2:1.0.28-1
libusbmuxd-2.0-7	2.1.0-1+b1
libuuid1	2.41.5-0+deb13u1
libuv1t64	1.50.0-2
libv4l-0t64	1.30.1-1
libv4l-0t64	1.30.1-1
libv4lconvert0t64	1.30.1-1
libv4lconvert0t64	1.30.1-1
libva2	2.22.0-3
libva2	2.22.0-3
libva-drm2	2.22.0-3
libva-drm2	2.22.0-3
libva-glx2	2.22.0-3
libva-glx2	2.22.0-3
libva-wayland2	2.22.0-3
libva-x11-2	2.22.0-3
libva-x11-2	2.22.0-3
libvdpau1	1.5-3+b1
libvdpau1	1.5-3+b1
libvdpau-va-gl1	0.4.2-2
libvdpau-va-gl1	0.4.2-2
libvidstab1.1	1.1.0-2+b2
libvisual-0.4-0	0.4.2-2+b2
libvisual-0.4-0	0.4.2-2+b2
libvlc5	3.0.23-0+deb13u1
libvlc-bin	3.0.23-0+deb13u1
libvlccore9	3.0.23-0+deb13u1
libvncclient1	0.9.15+dfsg-1+deb13u2
libvo-aacenc0	0.1.3-3
libvo-amrwbenc0	0.1.3-2+b2
libvolume-key1	0.3.12-9
libvorbis0a	1.3.7-3
libvorbis0a	1.3.7-3
libvorbisenc2	1.3.7-3
libvorbisenc2	1.3.7-3
libvorbisfile3	1.3.7-3
libvorbisfile3	1.3.7-3
libvpl2	1:2.14.0-1+b1
libvpx9	1.15.0-2.1+deb13u1
libvpx9	1.15.0-2.1+deb13u1
libvte-2.91-0	0.80.1-1
libvte-2.91-common	0.80.1-1
libvulkan1	1.4.309.0-1
libvulkan1	1.4.309.0-1
libwacom9	2.14.0-1
libwacom-common	2.14.0-1
libwavpack1	5.8.1-1
libwavpack1	5.8.1-1
libwayland-client0	1.23.1-3
libwayland-client0	1.23.1-3
libwayland-cursor0	1.23.1-3
libwayland-cursor0	1.23.1-3
libwayland-egl1	1.23.1-3
libwayland-egl1	1.23.1-3
libwayland-server0	1.23.1-3
libwayland-server0	1.23.1-3
libwbclient0	2:4.22.11+dfsg-0+deb13u1
libwebkit2gtk-4.1-0	2.52.6-1~deb13u1
libwebkitgtk-6.0-4	2.52.6-1~deb13u1
libwebp7	1.5.0-0.1
libwebp7	1.5.0-0.1
libwebpdemux2	1.5.0-0.1
libwebpmux3	1.5.0-0.1
libwebpmux3	1.5.0-0.1
libwebrtc-audio-processing-1-3	1.3-3+b1
libwildmidi2	0.4.3-1+b3
libwine	10.0~repack-6
libwine	10.0~repack-6
libwinpr3-3	3.15.0+dfsg-2.1+deb13u3
libwireplumber-0.5-0	0.5.8-2
libwmflite-0.2-7	0.2.13-1.1+b3
libwnck-3-0	43.2-1
libwnck-3-common	43.2-1
libwrap0	7.6.q-36
libwww-perl	6.78-1
libwww-robotrules-perl	6.02-1
libx11-6	2:1.8.12-1
libx11-6	2:1.8.12-1
libx11-data	2:1.8.12-1
libx11-protocol-perl	0.56-9
libx11-xcb1	2:1.8.12-1
libx11-xcb1	2:1.8.12-1
libx264-164	2:0.164.3108+git31e19f9-2+b1
libx264-164	2:0.164.3108+git31e19f9-2+b1
libx265-215	4.1-2
libx265-215	4.1-2
libxatracker2	25.0.7-2+deb13u1
libxau6	1:1.0.11-1
libxau6	1:1.0.11-1
libxaw7	2:1.0.16-1
libxcb1	1.17.0-2+b1
libxcb1	1.17.0-2+b1
libxcb-composite0	1.17.0-2+b1
libxcb-cursor0	0.1.5-1
libxcb-dri2-0	1.17.0-2+b1
libxcb-dri2-0	1.17.0-2+b1
libxcb-dri3-0	1.17.0-2+b1
libxcb-dri3-0	1.17.0-2+b1
libxcb-glx0	1.17.0-2+b1
libxcb-glx0	1.17.0-2+b1
libxcb-icccm4	0.4.2-1
libxcb-image0	0.4.0-2+b2
libxcb-keysyms1	0.4.1-1
libxcb-present0	1.17.0-2+b1
libxcb-present0	1.17.0-2+b1
libxcb-randr0	1.17.0-2+b1
libxcb-randr0	1.17.0-2+b1
libxcb-render0	1.17.0-2+b1
libxcb-render0	1.17.0-2+b1
libxcb-render-util0	0.3.10-1
libxcb-res0	1.17.0-2+b1
libxcb-shape0	1.17.0-2+b1
libxcb-shm0	1.17.0-2+b1
libxcb-shm0	1.17.0-2+b1
libxcb-sync1	1.17.0-2+b1
libxcb-sync1	1.17.0-2+b1
libxcb-util1	0.4.1-1
libxcb-xfixes0	1.17.0-2+b1
libxcb-xfixes0	1.17.0-2+b1
libxcb-xinerama0	1.17.0-2+b1
libxcb-xinput0	1.17.0-2+b1
libxcb-xkb1	1.17.0-2+b1
libxcb-xkb1	1.17.0-2+b1
libxcb-xv0	1.17.0-2+b1
libxcomposite1	1:0.4.6-1
libxcomposite1	1:0.4.6-1
libxcursor1	1:1.2.3-1
libxcursor1	1:1.2.3-1
libxcvt0	0.1.3-1
libxdamage1	1:1.1.6-1+b2
libxdamage1	1:1.1.6-1+b2
libxdmcp6	1:1.1.5-1
libxdmcp6	1:1.1.5-1
libxext6	2:1.3.4-1+b3
libxext6	2:1.3.4-1+b3
libxfixes3	1:6.0.0-2+b4
libxfixes3	1:6.0.0-2+b4
libxfont2	1:2.0.6-1+deb13u1
libxft2	2.3.6-1+b4
libxi6	2:1.8.2-1
libxi6	2:1.8.2-1
libxinerama1	2:1.1.4-3+b4
libxinerama1	2:1.1.4-3+b4
libxkbcommon0	1.7.0-2
libxkbcommon0	1.7.0-2
libxkbcommon-x11-0	1.7.0-2
libxkbcommon-x11-0	1.7.0-2
libxkbfile1	1:1.1.0-1+b4
libxkbregistry0	1.7.0-2
libxkbregistry0	1.7.0-2
libxml2	2.12.7+dfsg+really2.9.14-2.1+deb13u3
libxml2	2.12.7+dfsg+really2.9.14-2.1+deb13u3
libxml++2.6-2v5	2.42.3-2
libxmlb2	0.3.22-1
libxml-parser-perl	2.47-2~deb13u1
libxml-twig-perl	1:3.52-3
libxml-xpathengine-perl	0.14-2
libxmu6	2:1.1.3-3+b4
libxmuu1	2:1.1.3-3+b4
libxnnpack0.20241108	0.0~git20241108.4ea82e5-2
libxpm4	1:3.5.17-1+deb13u1
libxpm4	1:3.5.17-1+deb13u1
libxrandr2	2:1.5.4-1+b3
libxrandr2	2:1.5.4-1+b3
libxrender1	1:0.9.12-1
libxrender1	1:0.9.12-1
libxres1	2:1.2.1-1+b2
libxshmfence1	1.3.3-1
libxshmfence1	1.3.3-1
libxslt1.1	1.1.35-1.2+deb13u3
libxss1	1:1.2.3-1+b3
libxss1	1:1.2.3-1+b3
libxt6t64	1:1.2.1-1.2+b2
libxtables12	1.8.11-2
libxtst6	2:1.2.5-1
libxtst6	2:1.2.5-1
libxv1	2:1.0.11-1.1+b3
libxv1	2:1.0.11-1.1+b3
libxvidcore4	2:1.3.7-1+b2
libxvidcore4	2:1.3.7-1+b2
libxvmc1	2:1.0.12-2+b3
libxxf86dga1	2:1.1.5-1+b3
libxxf86vm1	1:1.1.4-1+b4
libxxf86vm1	1:1.1.4-1+b4
libxxhash0	0.8.3-2
libyajl2	2.1.0-5+b2
libyaml-0-2	0.2.5-2
libyaml-cpp0.8	0.8.0+dfsg-7
libyelp0	42.2-4+deb13u1
libyuv0	0.0.1904.20250204-1
libyuv0	0.0.1904.20250204-1
libyyjson0	0.10.0+ds-1+b1
libz3-4	4.13.3-1
libz3-4	4.13.3-1
libzbar0t64	0.23.93-8
libzimg2	3.0.5+ds1-1+b2
libzix-0-0	0.6.2-1
libz-mingw-w64	1.3.1+dfsg-2
libzmq5	4.3.5-1+b3
libzmq5	4.3.5-1+b3
libzstd1	1.5.7+dfsg-1
libzstd1	1.5.7+dfsg-1
libzvbi0t64	0.2.44-1
libzvbi0t64	0.2.44-1
libzvbi-common	0.2.44-1
libzxing3	2.3.0-4
linux-base	4.12.1
linux-headers-6.12.107+deb13-amd64	6.12.107-1
linux-headers-6.12.107+deb13-common	6.12.107-1
linux-headers-amd64	6.12.107-1
linux-image-6.12.107+deb13-amd64	6.12.107-1
linux-image-amd64	6.12.107-1
linux-kbuild-6.12.107+deb13	6.12.107-1
linux-libc-dev	6.12.107-1
linux-sysctl-defaults	4.12.1
live-boot	1:20250815~deb13u1
live-boot-doc	1:20250815~deb13u1
live-boot-initramfs-tools	1:20250815~deb13u1
live-config	11.0.5
live-config-doc	11.0.5
live-config-systemd	11.0.5
live-tools	1:20240525
locales	2.41-12+deb13u4
locales-all	2.41-12+deb13u4
login	1:4.16.0-2+really2.41.5-0+deb13u1
login.defs	1:4.17.4-2
logrotate	3.22.0-1
logsave	1.47.2-3+b12
loupe	48.1-3
low-memory-monitor	2.1-2+b1
lsb-release	12.1-1
lshw	02.19.git.2021.06.19.996aaad9c7-2.1
lsof	4.99.4+dfsg-2
luit	2.0.20240910-1
lynx	2.9.2-1
lynx-common	2.9.2-1
mailcap	3.74
make	4.4.1-2
malcontent	0.13.0-2+deb13u1
malcontent-gui	0.13.0-2+deb13u1
man-db	2.13.1-1
manpages	6.9.1-1
manpages-dev	6.9.1-1
mawk	1.3.4.20250131-1
media-player-info	26-1
media-types	13.0.0
mesa-libgallium	25.0.7-2+deb13u1
mesa-libgallium	25.0.7-2+deb13u1
mesa-va-drivers	25.0.7-2+deb13u1
mesa-vdpau-drivers	25.0.7-2+deb13u1
mesa-vdpau-drivers	25.0.7-2+deb13u1
mesa-vulkan-drivers	25.0.7-2+deb13u1
mesa-vulkan-drivers	25.0.7-2+deb13u1
mobile-broadband-provider-info	20250613-2
modemmanager	1.24.0-1+deb13u1
mount	2.41.5-0+deb13u1
mutter-common	48.7-0+deb13u1
mutter-common-bin	48.7-0+deb13u1
nano	8.4-1+deb13u1
nautilus	48.3-2
nautilus-data	48.3-2
nautilus-extension-gnome-terminal	3.56.2-2
ncurses-base	6.5+20250216-2
ncurses-bin	6.5+20250216-2
netbase	6.5
network-manager	1.52.1-1
network-manager-applet	1.36.0-3+b1
network-manager-gnome	1.36.0-3+b1
network-manager-l10n	1.52.1-1
nftables	1.1.3-1
nm-connection-editor	1.36.0-3+b1
ntfs-3g	1:2022.10.3-5+deb13u2
nvidia-alternative	550.163.01-2
nvidia-driver	550.163.01-2
nvidia-driver-bin	550.163.01-2
nvidia-driver-libs	550.163.01-2
nvidia-driver-libs	550.163.01-2
nvidia-egl-common	550.163.01-2
nvidia-egl-icd	550.163.01-2
nvidia-egl-icd	550.163.01-2
nvidia-installer-cleanup	20240109+1
nvidia-kernel-common	20240109+1
nvidia-kernel-dkms	550.163.01-2
nvidia-kernel-support	550.163.01-2
nvidia-legacy-check	550.163.01-2
nvidia-modprobe	570.133.07-1
nvidia-persistenced	550.163.01-1
nvidia-settings	550.163.01-1
nvidia-smi	550.163.01-2
nvidia-support	20240109+1
nvidia-suspend-common	550.163.01-2
nvidia-vdpau-driver	550.163.01-2
nvidia-vulkan-common	550.163.01-2
nvidia-vulkan-icd	550.163.01-2
nvidia-vulkan-icd	550.163.01-2
ocl-icd-libopencl1	2.3.3-1
ocl-icd-libopencl1	2.3.3-1
openssh-client	1:10.0p1-7+deb13u4
openssl	3.5.7-1~deb13u2
openssl-provider-legacy	3.5.7-1~deb13u2
orca	48.1-1+deb13u2
osinfo-db	0.20250606-1
os-prober	1.83
p11-kit	0.25.5-3
p11-kit-modules	0.25.5-3
p7zip-full	16.02+transitional.1
packagekit	1.3.1-1+deb13u1
packagekit-tools	1.3.1-1+deb13u1
pahole	1.30-1
parted	3.6-5
passwd	1:4.17.4-2
patch	2.8-2
pci.ids	0.0~2025.06.09-1
pciutils	1:3.13.0-2
perl	5.40.1-6+deb13u1
perl-base	5.40.1-6+deb13u1
perl-modules-5.40	5.40.1-6+deb13u1
perl-openssl-defaults	7+b2
perl-tk	1:804.036+dfsg1-5
pinentry-curses	1.3.1-2
pinentry-gnome3	1.3.1-2
pipewire	1.4.2-1
pipewire-alsa	1.4.2-1
pipewire-audio	1.4.2-1
pipewire-bin	1.4.2-1
pipewire-pulse	1.4.2-1
pkexec	126-2
plasma-activities-bin	6.3.4-1
plymouth	24.004.60-5
plymouth-label	24.004.60-5
pocketsphinx-en-us	0.8+5prealpha+1-15
polkitd	126-2
poppler-data	0.4.12-1
poppler-utils	25.03.0-5+deb13u4
power-profiles-daemon	0.30-1.1
ppp	2.5.2-1+1
procps	2:4.0.4-9
psmisc	23.7-2
publicsuffix	20250328.1952-0.1
python3.13	3.13.5-2+deb13u5
python3.13-minimal	3.13.5-2+deb13u5
python3	3.13.5-1
python3-brlapi	6.7-3.1+deb13u3
python3-cairo	1.27.0-2
python3-certifi	2025.1.31+ds-1
python3-chardet	5.2.0+dfsg-2
python3-charset-normalizer	3.4.2-1
python3-cups	2.0.4-2+b2
python3-cupshelpers	1.5.18-4
python3-dbus	1.4.0-1
python3-distro	1.9.0-1
python3-gi	3.50.0-4+b1
python3-ibus-1.0	1.5.32-2
python3-idna	3.10-1+deb13u1
python3-louis	3.33.0-1
python3-minimal	3.13.5-1
python3-psutil	7.0.0-2
python3-requests	2.32.3+dfsg-5+deb13u1
python3-setproctitle	1.3.6-2
python3-smbc	1.0.25.1-1+b4
python3-speechd	0.12.0-5
python3-urllib3	2.3.0-3+deb13u2
python3-xdg	0.28-2
qml6-module-org-kde-kirigami	6.13.0-2
qml6-module-qtqml	6.8.2+dfsg-7
qml6-module-qtqml-models	6.8.2+dfsg-7
qml6-module-qtqml-workerscript	6.8.2+dfsg-7
qml6-module-qtquick	6.8.2+dfsg-7
qml6-module-qtquick-controls	6.8.2+dfsg-7
qml6-module-qtquick-layouts	6.8.2+dfsg-7
qml6-module-qtquick-shapes	6.8.2+dfsg-7
qml6-module-qtquick-templates	6.8.2+dfsg-7
qml6-module-qtquick-window	6.8.2+dfsg-7
qml-module-qtquick2	5.15.15+dfsg-3
qml-module-qtquick-window2	5.15.15+dfsg-3
qt5-gtk-platformtheme	5.15.15+dfsg-6+deb13u1
qt6-gtk-platformtheme	6.8.2+dfsg-9+deb13u2
qt6-qpa-plugins	6.8.2+dfsg-9+deb13u2
qt6-svg-plugins	6.8.2-3
qt6-translations-l10n	6.8.2-2
qt6-wayland	6.8.2-4
qttranslations5-l10n	5.15.15-2
qtwayland5	5.15.15-3
rar	2:7.11-1
readline-common	8.2-6
realmd	0.17.1-3+b2
ripgrep	14.1.1-1+b4
rpcsvc-proto	1.4.3-1
rsync	3.4.1+ds1-5+deb13u4
rtkit	0.13-5.1
rygel	0.44.2-1
rygel-playbin	0.44.2-1
rygel-tracker	0.44.2-1
samba-libs	2:4.22.11+dfsg-0+deb13u1
sane-airscan	0.99.35-1
sane-utils	1.3.1-3+b1
sed	4.9-2+deb13u1
sensible-utils	0.0.25
sgml-base	1.31+nmu1
sgml-data	2.0.11+nmu1
shared-mime-info	2.4-5+b2
simple-scan	46.0-2
sound-icons	0.1-8
sound-theme-freedesktop	0.8-6~deb13u1
speech-dispatcher	0.12.0-5
speech-dispatcher-audio-plugins	0.12.0-5
speech-dispatcher-espeak-ng	0.12.0-5
squashfs-tools	1:4.6.1-1
sqv	1.3.0-3+b2
ssl-cert	1.1.3
starship	1.22.1-5
steam-devices	1:1.0.0.83~ds-3
steam-installer	1:1.0.0.83~ds-3
steam-libs	1:1.0.0.83~ds-3
steam-libs	1:1.0.0.83~ds-3
steam-libs-i386	1:1.0.0.83~ds-3
sudo	1.9.16p2-3+deb13u2
switcheroo-control	2.6-3
system-config-printer-common	1.5.18-4
system-config-printer-udev	1.5.18-4
systemd	257.13-1~deb13u1
systemd-sysv	257.13-1~deb13u1
systemsettings	4:6.3.4-2
sysvinit-utils	3.14-4
tar	1.35+dfsg-3.1
tecla	48.0.2-1
timgm6mb-soundfont	1.3-5
tinysparql	3.8.2-7
tmux	3.5a-3
totem	43.2-3
totem-common	43.2-3
totem-plugins	43.2-3
tpm-udev	0.6+nmu1
tracker-extract	3.8.2-4+b1
tzdata	2026c-0+deb13u1
ucf	3.0052
udev	257.13-1~deb13u1
udisks2	2.10.1-12.1+deb13u2
unrar	1:7.1.8-1
unzip	6.0-29+deb13u1
update-glx	1.2.2
update-inetd	4.53
upower	1.90.9-1
usb.ids	2025.07.26-1
usb-modeswitch	2.6.1-4+b2
usb-modeswitch-data	20191128-7
usbmuxd	1.1.1-6+deb13u1
usbutils	1:018-2
user-setup	1.107
usr-is-merged	39+nmu2
util-linux	2.41.5-0+deb13u1
uuid-runtime	2.41.5-0+deb13u1
vdpau-driver-all	1.5-3+b1
vdpau-driver-all	1.5-3+b1
vim	2:9.1.1230-2
vim-common	2:9.1.1230-2
vim-runtime	2:9.1.1230-2
vim-tiny	2:9.1.1230-2
vlc	3.0.23-0+deb13u1
vlc-bin	3.0.23-0+deb13u1
vlc-data	3.0.23-0+deb13u1
vlc-l10n	3.0.23-0+deb13u1
vlc-plugin-access-extra	3.0.23-0+deb13u1
vlc-plugin-base	3.0.23-0+deb13u1
vlc-plugin-notify	3.0.23-0+deb13u1
vlc-plugin-qt	3.0.23-0+deb13u1
vlc-plugin-samba	3.0.23-0+deb13u1
vlc-plugin-skins2	3.0.23-0+deb13u1
vlc-plugin-video-output	3.0.23-0+deb13u1
vlc-plugin-video-splitter	3.0.23-0+deb13u1
vlc-plugin-visualization	3.0.23-0+deb13u1
wamerican	2020.12.07-4
webp-pixbuf-loader	0.2.7-1+b1
wget	1.25.0-2
whiptail	0.52.25-1
wine	10.0~repack-6
wine32	10.0~repack-6
wine64	10.0~repack-6
winetricks	20250102-1
wireless-regdb	2026.05.30-1~deb13u1
wireplumber	0.5.8-2
wpasupplicant	2:2.10-24
x11-common	1:7.7+24+deb13u1
x11-utils	7.7+7
x11-xkb-utils	7.7+9
x11-xserver-utils	7.7+11
xauth	1:1.1.2-1.1
xbrlapi	6.7-3.1+deb13u3
xcvt	0.1.3-1
xdg-dbus-proxy	0.1.6-1+deb13u2
xdg-desktop-portal	1.20.3+ds-1
xdg-desktop-portal-gnome	48.0-2
xdg-desktop-portal-gtk	1.15.3-1
xdg-user-dirs	0.18-2
xdg-user-dirs-gtk	0.14-1
xdg-utils	1.2.1-2
xfonts-base	1:1.0.5+nmu1
xfonts-encodings	1:1.0.4-2.2
xfonts-utils	1:7.7+7
xkb-data	2.42-1
xkbset	0.8-1
xml-core	0.19
xsel	1.2.1-1
xserver-common	2:21.1.16-1.3+deb13u3
xserver-xephyr	2:21.1.16-1.3+deb13u3
xserver-xorg	1:7.7+24+deb13u1
xserver-xorg-core	2:21.1.16-1.3+deb13u3
xserver-xorg-input-all	1:7.7+24+deb13u1
xserver-xorg-input-libinput	1.5.0-1
xserver-xorg-input-wacom	1.2.3-1
xserver-xorg-legacy	2:21.1.16-1.3+deb13u3
xserver-xorg-video-all	1:7.7+24+deb13u1
xserver-xorg-video-amdgpu	23.0.0-1
xserver-xorg-video-ati	1:22.0.0-1
xserver-xorg-video-fbdev	1:0.5.0-2
xserver-xorg-video-intel	2:2.99.917+git20210115-1
xserver-xorg-video-nouveau	1:1.0.18-1
xserver-xorg-video-nvidia	550.163.01-2
xserver-xorg-video-qxl	0.1.6-1.1
xserver-xorg-video-radeon	1:22.0.0-1
xserver-xorg-video-vesa	1:2.6.0-2
xserver-xorg-video-vmware	1:13.4.0-1
xwayland	2:24.1.6-1
xz-utils	5.8.1-1+deb13u1
yelp	42.2-4+deb13u1
yelp-xsl	42.1-4
zenity	4.1.90-1
zenity-common	4.1.90-1
zlib1g	1:1.3.dfsg+really1.3.1-1+b1
zlib1g	1:1.3.dfsg+really1.3.1-1+b1
zram-tools	0.3.7-1
zstd	1.5.7+dfsg-1
