7zip	25.01+dfsg-1~deb13u2
gnome-software-plugin-deb	48.3-2
gnome-software-plugin-flatpak	48.3-2
gnome-software-plugin-fwupd	48.3-2
gnome-sushi	46.0-2
gnome-system-monitor	48.1-2
gnome-terminal	3.56.2-2
gnome-terminal-data	3.56.2-2
gnome-text-editor	48.3-3
gnome-themes-extra-data	3.28-4
gnome-tour	48.1-4
gnome-user-docs	48.2-1
gnome-user-share	48.0-1
gnome-weather	48.0-2
gnupg	2.4.7-21+deb13u1
gnupg-l10n	2.4.7-21+deb13u1
gnupg-utils	2.4.7-21+deb13u1+b5
gpg	2.4.7-21+deb13u1+b5
gpg-agent	2.4.7-21+deb13u1+b5
gpgconf	2.4.7-21+deb13u1+b5
gpgsm	2.4.7-21+deb13u1+b5
gpgv	2.4.7-21+deb13u1+b5
gpg-wks-client	2.4.7-21+deb13u1+b5
grep	3.11-4
grilo-plugins-0.3	0.3.16-5
groff-base	1.23.0-9
grub-common	2.12-9+deb13u2
gsettings-desktop-schemas	48.0-1
gstreamer1.0-gl	1.26.2-1+deb13u1
gstreamer1.0-gtk3	1.26.2-1+deb13u2
gstreamer1.0-gtk4	0.13.5-1
gstreamer1.0-libav	1.26.2-1+deb13u1
gstreamer1.0-libcamera	0.4.0-7
gstreamer1.0-packagekit	1.3.1-1+deb13u1
gstreamer1.0-pipewire	1.4.2-1
gstreamer1.0-plugins-bad	1.26.2-3+deb13u3
gstreamer1.0-plugins-base	1.26.2-1+deb13u1
gstreamer1.0-plugins-base	1.26.2-1+deb13u1
gstreamer1.0-plugins-good	1.26.2-1+deb13u2
gstreamer1.0-plugins-good	1.26.2-1+deb13u2
gstreamer1.0-plugins-ugly	1.26.3-4+deb13u1
gstreamer1.0-x	1.26.2-1+deb13u1
gstreamer1.0-x	1.26.2-1+deb13u1
gtk-update-icon-cache	4.18.6+ds-2
gvfs	1.57.2-2+deb13u1
gvfs-backends	1.57.2-2+deb13u1
gvfs-common	1.57.2-2+deb13u1
gvfs-daemons	1.57.2-2+deb13u1
gvfs-fuse	1.57.2-2+deb13u1
gvfs-libs	1.57.2-2+deb13u1
g++-x86-64-linux-gnu	4:14.2.0-1
gzip	1.13-1+deb13u1
heif-gdk-pixbuf	1.19.8-1+deb13u1
heif-thumbnailer	1.19.8-1+deb13u1
hicolor-icon-theme	0.18-2
hostname	3.25
htop	3.4.1-5
hunspell-en-us	1:2020.12.07-4
i965-va-driver	2.4.1+dfsg1-2
ibus	1.5.32-2
ibus-data	1.5.32-2
ibus-gtk	1.5.32-2
ibus-gtk3	1.5.32-2
ibus-gtk4	1.5.32-2
ifupdown	0.8.44+deb13u1
iio-sensor-proxy	3.7-3
imagemagick-7-common	8:7.1.1.43+dfsg1-1+deb13u12
im-config	0.57-2
indi-dsi	0.4+20221223123028-2
init	1.69~deb13u1
initramfs-tools	0.148.4
initramfs-tools-bin	0.148.4
initramfs-tools-core	0.148.4
init-system-helpers	1.69~deb13u1
intel-media-va-driver-non-free	25.2.3+ds1-1
intel-microcode	3.20251111.1~deb13u1
ipp-usb	0.9.23-2+b7
iproute2	6.15.0-1
iputils-ping	3:20240905-3
iso-codes	4.18.0-1
iucode-tool	2.3.1-3
jq	1.7.1-6+deb13u3
kactivitymanagerd	6.3.4-1
kbd	2.7.1-2
kded6	6.13.0-1
keyboard-configuration	1.242~deb13u1
keyutils	1.6.3-6
kio6	6.13.0-6
klibc-utils	2.0.14-1
kmod	34.2-2
krb5-locales	1.21.3-5+deb13u1
kwallet6	6.13.0-1
less	668-1
liba52-0.7.4	0.7.4-20+b3
libaa1	1.4p5-51.1+b1
libaa1	1.4p5-51.1+b1
libaacs0	0.11.1-4+b1
libaacs0	0.11.1-4+b1
libabsl20240722	20240722.0-4
libabsl20240722	20240722.0-4
libaccountsservice0	23.13.9-7
libacl1	2.3.2-2+b1
libadwaita-1-0	1.7.6-1~deb13u1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-9
libalgorithm-merge-perl	0.08-5
libao4	1.2.2+20180113-1.2
libao-common	1.2.2+20180113-1.2
libaom3	3.12.1-1+deb13u1
libaom3	3.12.1-1+deb13u1
libapache2-mod-dnssd	0.6-5
libapparmor1	4.1.0-1
libappstream5	1.0.5-1
libapr1t64	1.7.5-1
libaprutil1-dbd-sqlite3	1.6.3-3+deb13u1
libaprutil1-ldap	1.6.3-3+deb13u1
libaprutil1t64	1.6.3-3+deb13u1
libapt-pkg7.0	3.0.3
libarchive13t64	3.7.4-4+deb13u1
libaribb24-0t64	1.0.3-2.1+b2
libasan8	14.2.0-19
libasound2-data	1.2.14-1+deb13u1
libasound2-plugins	1.2.12-2+b1
libasound2-plugins	1.2.12-2+b1
libasound2t64	1.2.14-1+deb13u1
libasound2t64	1.2.14-1+deb13u1
libaspell15	0.60.8.1-4
libass9	1:0.17.3-1+deb13u1
libassuan9	3.0.2-2
libasyncns0	0.8-6+b5
libasyncns0	0.8-6+b5
libatasmart4	0.19-5+b2
libatk1.0-0t64	2.56.2-1+deb13u2
libatk1.0-0t64	2.56.2-1+deb13u2
libatk-adaptor	2.56.2-1+deb13u2
libatk-bridge2.0-0t64	2.56.2-1+deb13u2
libatk-bridge2.0-0t64	2.56.2-1+deb13u2
libatomic1	14.2.0-19
libatomic1	14.2.0-19
libatspi2.0-0t64	2.56.2-1+deb13u2
libatspi2.0-0t64	2.56.2-1+deb13u2
libattr1	1:2.5.2-3
libaudcore5t64	4.4.2-1
libaudgui6	4.4.2-1
libaudio2	1.9.4-9
libaudit1	1:4.0.2-2+deb13u1
libaudit-common	1:4.0.2-2+deb13u1
libaudqt3	4.4.2-1
libaudtag3t64	4.4.2-1
libauthen-sasl-perl	2.1700-1
libavahi-client3	0.8-16
libavahi-client3	0.8-16
libavahi-common3	0.8-16
libavahi-common3	0.8-16
libavahi-common-data	0.8-16
libavahi-common-data	0.8-16
libavahi-core7	0.8-16
libavahi-glib1	0.8-16
libavc1394-0	0.5.4-5+b2
libavc1394-0	0.5.4-5+b2
libavcodec61	7:7.1.5-0+deb13u1
